Aviso;Fecha;Ubicación técnica;Ce.coste;Equipo;IniAvería;FinAvería;HIniAver;HFinAver; DurParada;Un.;Cl.;Creado el;Autor aviso;Orden;Cierre;PerfCatál;IntRespEj;Ejecutante
10064669;06.01.2024;SPEQ-TEMA-RT28-SPRE;13254;12002972;06.01.2024;06.01.2024;13:41:00;13:45:00;0,07;H;A1;06.01.2024;LUISM;;22.01.2024;SPREADER;10000481;47
10064670;06.01.2024;SPEQ-TEMA-RT23;13254;12002033;06.01.2024;06.01.2024;13:45:00;13:49:00;0,07;H;A1;06.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064671;06.01.2024;SPEQ-TEMA-GP09-SPRE;13219;12001971;06.01.2024;06.01.2024;17:39:00;18:26:00;0,78;H;A1;06.01.2024;YANO;100026091;30.01.2024;SPREADER;10001807;47
10064672;06.01.2024;SPEQ-TEMA-RT33;13254;12002043;06.01.2024;06.01.2024;13:57:00;14:12:00;0,25;H;A1;06.01.2024;YANO;;06.01.2024;GRURTG;10001807;47
10064673;06.01.2024;SPEQ-TEMA-RT25-SPRE;13254;12002969;06.01.2024;06.01.2024;16:50:00;17:05:00;0,25;H;A1;06.01.2024;YANO;;06.01.2024;SPREADER;10000660;47
10064674;06.01.2024;SPEQ-TEMA-RT30;13254;12002040;06.01.2024;06.01.2024;17:50:00;18:00:00;0,17;H;A1;06.01.2024;YANO;;06.01.2024;GRURTG;10000660;47
10064675;06.01.2024;SPEQ-TEMA-RT42-CAR;13255;12004751;06.01.2024;06.01.2024;14:10:00;14:15:00;0,08;H;A1;06.01.2024;YANO;;06.01.2024;GRURTG;10001807;47
10064676;06.01.2024;SPEQ-TEMA-RT42-CAR;13255;12004751;06.01.2024;06.01.2024;17:09:00;19:15:00;2,1;H;A1;06.01.2024;YANO;;06.01.2024;GRURTG;10001807;47
10064677;06.01.2024;SPEQ-TEMA-RT42-CAR;13255;12004751;06.01.2024;06.01.2024;17:50:00;17:56:00;0,1;H;A1;06.01.2024;YANO;;06.01.2024;GRURTG;10000660;47
10064678;06.01.2024;SPEQ-TEMA-RT28-UNPO;13254;12003004;06.01.2024;06.01.2024;18:34:00;18:52:00;0,3;H;A1;06.01.2024;YANO;;06.01.2024;MOTODIES;10001807;47
10064679;06.01.2024;SPEQ-TEMA-T079-MOT;13264;12003546;06.01.2024;06.01.2024;17:50:00;17:59:00;0,15;H;A1;06.01.2024;YANO;;06.01.2024;M-DIES-T;10001114;47
10064680;07.01.2024;SPEQ-TEMA-GP09-GANT;13219;12003099;07.01.2024;07.01.2024;2:40:09;3:20:00;0,66;H;A1;07.01.2024;DOUGLASB;;11.01.2024;GRUSTS;10000324;142
10064681;07.01.2024;SPEQ-TEMA-RT33-SPRE;13254;12002977;07.01.2024;07.01.2024;5:23:31;5:29:00;0,09;H;A1;07.01.2024;DOUGLASB;;11.01.2024;SPREADER;10000324;142
10064682;07.01.2024;SPEQ-TEMA-RT42-CAR;13255;12004751;06.01.2024;06.01.2024;21:04:50;21:08:00;0,05;H;A1;07.01.2024;DOUGLASB;;11.01.2024;GRURTG;10000324;142
10064683;07.01.2024;SPEQ-TEMA-T080-MOT;13264;12003547;07.01.2024;07.01.2024;6:10:00;11:00:00;4,83;H;A1;07.01.2024;LUISM;100026092;22.01.2024;M-DIES-T;10001582;47
10064684;07.01.2024;SPEQ-TEMA-GP07-GANT;13217;12003056;07.01.2024;07.01.2024;8:00:00;9:50:00;1,83;H;A1;07.01.2024;LUISM;100026093;22.01.2024;GRUSTS;222;47
10064685;07.01.2024;SPEQ-TEMA-RT42-GANT;13255;12004687;07.01.2024;07.01.2024;6:48:00;8:14:00;1,43;H;A1;07.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064686;07.01.2024;SPEQ-TEMA-RT38-UNPO;13255;12003695;07.01.2024;07.01.2024;8:50:00;9:10:00;0,33;H;A1;07.01.2024;LUISM;;22.01.2024;MOTODIES;222;47
10064687;07.01.2024;SPEQ-TEMA-RT25-SKEW;13254;12004767;07.01.2024;07.01.2024;10:34:00;11:00:00;0,43;H;A1;07.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064688;07.01.2024;SPEQ-TEMA-GP08-GANT;13218;12003078;07.01.2024;07.01.2024;23:17:00;23:27:00;0,17;H;A1;07.01.2024;YANO;100026094;08.01.2024;GRUSTS;10001807;47
10064689;07.01.2024;SPEQ-TEMA-T100;13264;12003395;07.01.2024;07.01.2024;22:34:00;22:40:00;0,1;H;A1;07.01.2024;YANO;;07.01.2024;TRACTERM;10001807;47
10064690;07.01.2024;SPEQ-TEMA-T071-MOT;13263;12003538;07.01.2024;07.01.2024;22:36:00;22:42:00;0,1;H;A1;07.01.2024;YANO;;07.01.2024;M-DIES-T;10001114;47
10064691;08.01.2024;SPEQ-TEMA-RT29;13254;12002039;07.01.2024;07.01.2024;23:35:00;23:46:00;0,18;H;A1;08.01.2024;YANO;;08.01.2024;GRURTG;10000660;47
10064692;08.01.2024;SPEQ-TEMA-RS12-SPRE;13246;12002927;07.01.2024;08.01.2024;23:49:00;0:03:00;0,23;H;A1;08.01.2024;YANO;;08.01.2024;SPRE-TER;10001114;47
10064693;08.01.2024;SPEQ-TEMA-RT36-SPRE;13254;12002980;08.01.2024;08.01.2024;1:17:00;1:50:00;0,55;H;A1;08.01.2024;YANO;;08.01.2024;SPREADER;10000660;47
10064694;08.01.2024;SPEQ-TEMA-RS03-SPRE;13245;12002427;07.01.2024;08.01.2024;23:52:00;0:31:00;0,65;H;A1;08.01.2024;YANO;;08.01.2024;SPRE-TER;10001114;47
10064695;08.01.2024;SPEQ-TEMA-RT35-GANT;13254;12004681;08.01.2024;08.01.2024;1:44:00;1:53:00;0,15;H;A1;08.01.2024;YANO;;08.01.2024;GRURTG;10000660;47
10064696;08.01.2024;SPEQ-TEMA-GP08-HOIS;13218;12003076;08.01.2024;08.01.2024;5:21:00;5:28:00;0,12;H;A1;08.01.2024;YANO;;08.01.2024;GRUSTS;10000398;47
10064697;08.01.2024;SPEQ-TEMA-GP08-GANT;13218;12003078;08.01.2024;08.01.2024;1:17:00;1:50:00;0,55;H;A1;08.01.2024;YANO;;08.01.2024;GRUSTS;10000398;47
10064698;08.01.2024;SPEQ-TEMA-RT38-GANT;13255;12004683;08.01.2024;08.01.2024;9:00:00;9:45:00;0,75;H;A1;08.01.2024;EDWARS;;23.01.2024;GRURTG;10000504;47
10064699;08.01.2024;SPEQ-TEMA-EC07;13293;12002210;08.01.2024;08.01.2024;11:45:00;12:30:00;0,75;H;A1;08.01.2024;EDWARS;;23.01.2024;EMPTY;10001664;47
10064700;08.01.2024;SPEQ-TEMA-TL06;13294;12002216;08.01.2024;08.01.2024;17:05:16;18:00:00;0,91;H;A1;08.01.2024;LUISM;100026095;22.01.2024;TRULIFT;10000177;47
10064701;08.01.2024;;13201;12005210;08.01.2024;08.01.2024;16:30:00;17:00:00;0,5;H;A1;08.01.2024;LUISM;;22.01.2024;VEHICULO;10000177;47
10064702;09.01.2024;SPEQ-TEMA-T100-MOT;13264;12003567;09.01.2024;09.01.2024;0:40:00;0:50:00;0,17;H;A1;09.01.2024;YANO;;09.01.2024;M-DIES-T;10000398;47
10064703;09.01.2024;SPEQ-TEMA-RT31-SPRE;13254;12002975;09.01.2024;09.01.2024;15:46:02;16:05:00;0,32;H;A1;09.01.2024;DOUGLASB;100026096;11.01.2024;SPREADER;10000774;142
10064704;09.01.2024;SPEQ-TEMA-RT33;13254;12002043;09.01.2024;09.01.2024;17:45:17;18:00:00;0,25;H;A1;09.01.2024;DOUGLASB;;11.01.2024;GRURTG;10001467;142
10064705;09.01.2024;SPEQ-TEMA-EC07;13293;12002210;09.01.2024;09.01.2024;20:38:05;20:57:00;0,32;H;A1;09.01.2024;DOUGLASB;;11.01.2024;EMPTY;10000774;142
10064706;10.01.2024;SPEQ-TEMA-TL04;13294;12002214;10.01.2024;10.01.2024;14:30:00;15:45:00;1,25;H;A1;10.01.2024;EDWARS;100026100;23.01.2024;TRULIFT;10001385;47
10064707;10.01.2024;SPEQ-TEMA-RT27-SPRE;13254;12002971;10.01.2024;10.01.2024;21:42:00;22:30:00;0,8;H;A1;10.01.2024;LUISM;100026097;22.01.2024;SPREADER;222;47
10064708;11.01.2024;SPEQ-TEMA-RS14-SPRE;13246;12002929;11.01.2024;11.01.2024;1:52:00;2:09:00;0,28;H;A1;11.01.2024;LUISM;;22.01.2024;SPRE-TER;10001582;47
10064709;11.01.2024;SPEQ-TEMA-EC07;13293;12002210;10.01.2024;10.01.2024;22:46:00;23:10:00;0,4;H;A1;11.01.2024;LUISM;;22.01.2024;EMPTY;10001582;47
10064710;11.01.2024;SPEQ-TEMA-T061;13263;12002189;11.01.2024;11.01.2024;16:41:37;16:58:00;0,27;H;A1;11.01.2024;YANO;100026098;30.01.2024;TRACTERM;10001807;47
10064711;11.01.2024;SPEQ-TEMA-T103;13264;12003398;11.01.2024;11.01.2024;16:12:00;16:20:00;0,13;H;A1;11.01.2024;YANO;;11.01.2024;TRACTERM;10001114;47
10064712;11.01.2024;SPEQ-TEMA-T068;13263;12002196;11.01.2024;11.01.2024;16:20:00;16:28:00;0,13;H;A1;11.01.2024;YANO;;11.01.2024;TRACTERM;10001114;47
10064713;11.01.2024;SPEQ-TEMA-RT30;13254;12002040;11.01.2024;11.01.2024;15:10:00;15:21:00;0,18;H;A1;11.01.2024;YANO;;11.01.2024;GRURTG;10000660;47
10064714;12.01.2024;SPEQ-TEMA-GP08-SPRE;13218;12003094;12.01.2024;12.01.2024;1:00:00;1:17:00;0,28;H;A1;12.01.2024;EDWARS;;23.01.2024;SPREADER;10000504;47
10064715;12.01.2024;SPEQ-TEMA-GP08;13218;12003053;12.01.2024;12.01.2024;2:30:00;2:49:00;0,32;H;A1;12.01.2024;EDWARS;;23.01.2024;GRUSTS;10001664;47
10064716;12.01.2024;SPEQ-TEMA-T100-MOT;13264;12003567;12.01.2024;12.01.2024;8:19:19;9:33:00;1,23;H;A1;12.01.2024;YANO;100026099;30.01.2024;M-DIES-T;10001807;47
10064717;12.01.2024;SPEQ-TEMA-T057;13263;12002185;12.01.2024;12.01.2024;6:40:00;7:25:00;0,75;H;A1;12.01.2024;YANO;;12.01.2024;TRACTERM;10000398;47
10064718;12.01.2024;SPEQ-TEMA-T054;13263;12002182;12.01.2024;12.01.2024;6:32:00;6:45:00;0,22;H;A1;12.01.2024;YANO;;12.01.2024;TRACTERM;10001807;47
10064719;12.01.2024;SPEQ-TEMA-RS07;13245;12002227;12.01.2024;12.01.2024;7:35:00;7:46:00;0,18;H;A1;12.01.2024;YANO;;12.01.2024;REASTAKE;10001114;47
10064720;12.01.2024;SPEQ-TEMA-RT33-CAR;13254;12004743;12.01.2024;12.01.2024;12:13:00;12:20:00;0,12;H;A1;12.01.2024;YANO;;12.01.2024;GRURTG;10000398;47
10064721;12.01.2024;SPEQ-TEMA-RS08;13245;12002228;12.01.2024;12.01.2024;15:30:04;18:00:00;2,5;H;A1;12.01.2024;DOUGLASB;100026101;13.01.2024;REASTAKE;10000774;142
10064722;12.01.2024;SPEQ-TEMA-RT28-UNPO;13254;12003004;12.01.2024;12.01.2024;16:00:00;17:00:00;1;H;A1;12.01.2024;DOUGLASB;100026172;01.03.2024;MOTODIES;10000324;142
10064723;12.01.2024;SPEQ-TEMA-RT27;13254;12002037;12.01.2024;12.01.2024;14:35:03;14:59:00;0,4;H;A1;12.01.2024;DOUGLASB;;13.01.2024;GRURTG;10001467;142
10064724;13.01.2024;SPEQ-TEMA-GP03-CUEL;13213;12000302;13.01.2024;13.01.2024;10:26:28;12:35:00;0;H;A1;13.01.2024;YANO;100026102;16.01.2024;GRUSTS;10000398;47
10064725;13.01.2024;SPEQ-TEMA-RT37-HOIS;13255;12004567;13.01.2024;13.01.2024;6:37:00;7:02:00;0,42;H;A1;13.01.2024;YANO;;13.01.2024;GRURTG;10000660;47
10064726;13.01.2024;SPEQ-TEMA-RT36-GANT;13254;12004682;13.01.2024;13.01.2024;6:48:00;7:03:00;0,25;H;A1;13.01.2024;YANO;;13.01.2024;GRURTG;10000660;47
10064727;13.01.2024;SPEQ-TEMA-RT42-TROL;13255;12004655;13.01.2024;13.01.2024;12:29:00;12:48:00;0,32;H;A1;13.01.2024;YANO;;13.01.2024;GRURTG;10000660;47
10064728;13.01.2024;SPEQ-TEMA-T104;13264;12003399;13.01.2024;13.01.2024;8:20:00;8:28:00;0,13;H;A1;13.01.2024;YANO;;13.01.2024;TRACTERM;10001114;47
10064729;13.01.2024;SPEQ-TEMA-RS02;13245;12002222;13.01.2024;13.01.2024;15:00:00;15:34:00;0,57;H;A1;13.01.2024;LUISM;;22.01.2024;REASTAKE;10001582;47
10064730;13.01.2024;SPEQ-TEMA-RT25;13254;12002035;13.01.2024;13.01.2024;15:05:00;15:09:00;0,07;H;A1;13.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064731;14.01.2024;SPEQ-TEMA-RT31-GANT;13254;12004709;14.01.2024;14.01.2024;8:55:00;9:35:00;0,67;H;A1;14.01.2024;LUISM;100026103;22.01.2024;GRURTG;10000481;47
10064732;14.01.2024;SPEQ-TEMA-T079-MOT;13264;12003546;14.01.2024;14.01.2024;13:45:00;14:00:00;0,25;H;A1;14.01.2024;LUISM;100026104;22.01.2024;M-DIES-T;10001582;47
10064733;14.01.2024;SPEQ-TEMA-T050;13263;12002178;14.01.2024;14.01.2024;13:40:00;14:00:00;0,33;H;A1;14.01.2024;LUISM;100026105;22.01.2024;TRACTERM;10001582;47
10064734;14.01.2024;SPEQ-TEMA-T103;13264;12003398;13.01.2024;14.01.2024;14:30:00;14:48:00;24,3;H;A1;14.01.2024;YANO;100026106;30.01.2024;TRACTERM;10001807;47
10064735;14.01.2024;SPEQ-TEMA-RT37-GANT;13255;12004575;14.01.2024;14.01.2024;15:10:00;16:46:00;1,6;H;A1;14.01.2024;YANO;;14.01.2024;GRURTG;10000660;47
10064736;14.01.2024;SPEQ-TEMA-RT31-GANT;13254;12004677;14.01.2024;14.01.2024;16:13:00;17:02:00;0,82;H;A1;14.01.2024;YANO;;14.01.2024;GRURTG;10000398;47
10064737;15.01.2024;SPEQ-TEMA-GP10-HOIS;13220;12003118;14.01.2024;14.01.2024;21:42:40;21:47:00;0,07;H;A1;15.01.2024;DOUGLASB;;25.01.2024;GRUSTS;10001467;142
10064738;15.01.2024;SPEQ-TEMA-GP10-SPRE;13220;12003115;15.01.2024;15.01.2024;5:58:03;6:06:00;0,13;H;A1;15.01.2024;DOUGLASB;100026107;25.01.2024;SPREADER;10000324;142
10064739;15.01.2024;SPEQ-TEMA-T079-MOT;13264;12003546;15.01.2024;15.01.2024;6:00:00;7:00:00;1;H;A1;15.01.2024;LUISM;;22.01.2024;M-DIES-T;10001582;47
10064740;15.01.2024;SPEQ-TEMA-T038-MOT;13262;12002376;15.01.2024;15.01.2024;7:25:00;7:35:00;0,17;H;A1;15.01.2024;LUISM;;22.01.2024;M-DIES-T;10001582;47
10064741;15.01.2024;SPEQ-TEMA-RT23-GANT;13254;12004574;15.01.2024;15.01.2024;8:11:00;8:16:00;0,08;H;A1;15.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064742;15.01.2024;SPEQ-TEMA-RT23-GANT;13254;12004574;15.01.2024;15.01.2024;10:04:00;10:10:00;0,1;H;A1;15.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064743;15.01.2024;SPEQ-TEMA-T080-MOT;13264;12003547;15.01.2024;15.01.2024;10:10:00;10:35:00;0,42;H;A1;15.01.2024;LUISM;;22.01.2024;M-DIES-T;10001582;47
10064744;15.01.2024;SPEQ-TEMA-T085-MOT;13264;12003552;15.01.2024;15.01.2024;10:36:00;10:42:00;0,1;H;A1;15.01.2024;LUISM;;22.01.2024;M-DIES-T;10001582;47
10064745;15.01.2024;SPEQ-TEMA-T067-MOT;13263;12003534;15.01.2024;15.01.2024;11:40:00;11:48:00;0,13;H;A1;15.01.2024;LUISM;;22.01.2024;M-DIES-T;10001582;47
10064746;15.01.2024;SPEQ-TEMA-RT25-HOIS;13254;12004607;15.01.2024;15.01.2024;11:51:00;12:00:00;0,15;H;A1;15.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064747;15.01.2024;SPEQ-TEMA-RS07-SPRE;13245;12002431;15.01.2024;15.01.2024;10:29:00;10:30:00;0,02;H;A1;15.01.2024;LUISM;100026108;22.01.2024;SPRE-TER;10001582;47
10064748;15.01.2024;SPEQ-TEMA-RT34-UNPO;13254;12003001;15.01.2024;15.01.2024;22:22:00;22:42:00;0,33;H;A1;15.01.2024;YANO;100026109;16.01.2024;MOTODIES;10001807;47
10064749;16.01.2024;SPEQ-TEMA-GP13-GANT;13223;12003663;16.01.2024;16.01.2024;1:32:00;1:52:00;0,33;H;A1;16.01.2024;YANO;;16.01.2024;GRUSTS;10001807;47
10064750;16.01.2024;SPEQ-TEMA-RT40;13255;12003691;16.01.2024;16.01.2024;11:10:00;11:50:00;0,67;H;A1;16.01.2024;EDWARS;100026110;23.01.2024;GRURTG;10000504;47
10064751;16.01.2024;SPEQ-TEMA-RT33-GANT;13254;12004679;16.01.2024;16.01.2024;14:58:00;15:04:00;0,1;H;A1;16.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064752;16.01.2024;SPEQ-TEMA-RT37-HOIS;13255;12004567;16.01.2024;16.01.2024;15:11:00;15:25:00;0,23;H;A1;16.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064753;16.01.2024;SPEQ-TEMA-RT29;13254;12002039;16.01.2024;16.01.2024;15:55:00;16:00:00;0,08;H;A1;16.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
10064754;16.01.2024;SPEQ-TEMA-RT27;13254;12002037;16.01.2024;16.01.2024;15:55:00;16:01:00;0,1;H;A1;16.01.2024;LUISM;;22.01.2024;GRURTG;10000177;47
10064755;16.01.2024;SPEQ-TEMA-RS01;13245;12002221;16.01.2024;16.01.2024;17:10:00;17:45:00;0,58;H;A1;16.01.2024;LUISM;;22.01.2024;REASTAKE;10001582;47
10064756;16.01.2024;SPEQ-TEMA-TL01;13294;12002211;16.01.2024;16.01.2024;18:10:00;18:27:00;0,28;H;A1;16.01.2024;LUISM;;22.01.2024;TRULIFT;10001582;47
10064757;16.01.2024;SPEQ-TEMA-T067;13263;12002195;16.01.2024;16.01.2024;17:50:00;18:30:00;0,67;H;A1;16.01.2024;LUISM;;22.01.2024;TRACTERM;222;47
10064758;16.01.2024;SPEQ-TEMA-RT40-GANT;13255;12004685;16.01.2024;16.01.2024;19:21:00;19:27:00;0,1;H;A1;16.01.2024;LUISM;;22.01.2024;GRURTG;10000481;47
